Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-fa_IR.js                         | JavaScript |         11 |          5 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-fi_FI.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-fr_FR.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-hu_HU.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-id_ID.js                         | JavaScript |         11 |          5 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-it_IT.js                         | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-ko_KR.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-lt_LT.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-nb_NO.js                         | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-nl_NL.js                         | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-pl_PL.js                         | JavaScript |         11 |          5 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-pt_BR.js                         | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-pt_PT.js                         | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-ro_RO.js                         | JavaScript |          9 |          6 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-ru_RU.js                         | JavaScript |         10 |          5 |          1 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-sk_SK.js                         | JavaScript |         11 |          5 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-sl_SI.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-sv_SE.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-tr_TR.js                         | JavaScript |         18 |          6 |          1 |         25 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-ua_UA.js                         | JavaScript |          9 |          5 |          1 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-zh_CN.js                         | JavaScript |          9 |          5 |          1 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-zh_TW.js                         | JavaScript |         11 |          5 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\less\bootstrap-select.less                        | Less       |        288 |         10 |         57 |        355 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\less\variables.less                               | Less       |          4 |          0 |          3 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\sass\bootstrap-select.scss                        | SCSS       |        303 |         16 |         61 |        380 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\sass\variables.scss                               | SCSS       |          4 |          0 |          3 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\.bower.json                                                 | JSON       |         38 |          0 |          0 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\bower.json                                                  | JSON       |         28 |          0 |          1 |         29 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\dist\jquery.js                                              | JavaScript |      6,171 |      1,491 |      1,549 |      9,211 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\dist\jquery.min.js                                          | JavaScript |          3 |          2 |          0 |          5 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax.js                                                 | JavaScript |        488 |        171 |        128 |        787 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\jsonp.js                                           | JavaScript |         57 |         15 |         18 |         90 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\load.js                                            | JavaScript |         45 |         14 |         17 |         76 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\parseJSON.js                                       | JavaScript |          8 |          2 |          4 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\parseXML.js                                        | JavaScript |         21 |          2 |          6 |         29 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\script.js                                          | JavaScript |         56 |          4 |          5 |         65 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\var\nonce.js                                       | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\var\rquery.js                                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\ajax\xhr.js                                             | JavaScript |         94 |         24 |         19 |        137 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes.js                                           | JavaScript |          9 |          1 |          2 |         12 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes\attr.js                                      | JavaScript |        109 |         10 |         23 |        142 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes\classes.js                                   | JavaScript |        121 |         13 |         25 |        159 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes\prop.js                                      | JavaScript |         78 |          2 |         15 |         95 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes\support.js                                   | JavaScript |         19 |          8 |          9 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\attributes\val.js                                       | JavaScript |        119 |         14 |         29 |        162 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\callbacks.js                                            | JavaScript |        144 |         54 |          8 |        206 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core.js                                                 | JavaScript |        322 |         82 |         99 |        503 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core\access.js                                          | JavaScript |         42 |          7 |         12 |         61 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core\init.js                                            | JavaScript |         70 |         28 |         26 |        124 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core\parseHTML.js                                       | JavaScript |         27 |          4 |          9 |         40 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core\ready.js                                           | JavaScript |         54 |         22 |         22 |         98 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\core\var\rsingleTag.js                                  | JavaScript |          3 |          1 |          1 |          5 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css.js                                                  | JavaScript |        317 |         61 |         73 |        451 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\addGetHookIf.js                                     | JavaScript |         14 |          4 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\curCSS.js                                           | JavaScript |         35 |         11 |         12 |         58 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\defaultDisplay.js                                   | JavaScript |         33 |         20 |         18 |         71 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\hiddenVisibleSelectors.js                           | JavaScript |         11 |          2 |          3 |         16 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\support.js                                          | JavaScript |         61 |         19 |         17 |         97 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\swap.js                                             | JavaScript |         18 |          3 |          8 |         29 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\var\cssExpand.js                                    | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\var\getStyles.js                                    | JavaScript |          8 |          3 |          2 |         13 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\var\isHidden.js                                     | JavaScript |          9 |          3 |          2 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\var\rmargin.js                                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\css\var\rnumnonpx.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\data.js                                                 | JavaScript |        111 |         40 |         28 |        179 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\data\Data.js                                            | JavaScript |        108 |         52 |         22 |        182 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\data\accepts.js                                         | JavaScript |          8 |         10 |          3 |         21 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\data\var\data_priv.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\data\var\data_user.js                                   | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\deferred.js                                             | JavaScript |        109 |         20 |         21 |        150 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\deprecated.js                                           | JavaScript |          9 |          1 |          4 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\dimensions.js                                           | JavaScript |         32 |         10 |          9 |         51 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\effects.js                                              | JavaScript |        499 |         59 |         91 |        649 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\effects\Tween.js                                        | JavaScript |         88 |         11 |         16 |        115 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\effects\animatedSelector.js                             | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\event.js                                                | JavaScript |        618 |        108 |        143 |        869 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\event\ajax.js                                           | JavaScript |         10 |          1 |          3 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\event\alias.js                                          | JavaScript |         31 |          2 |          7 |         40 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\event\support.js                                        | JavaScript |          6 |          0 |          4 |         10 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\exports\amd.js                                          | JavaScript |          9 |         11 |          5 |         25 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\exports\global.js                                       | JavaScript |         20 |          5 |          8 |         33 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\intro.js                                                | JavaScript |         14 |         26 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\jquery.js                                               | JavaScript |         35 |          0 |          3 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\manipulation.js                                         | JavaScript |        413 |         57 |        111 |        581 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\manipulation\_evalUrl.js                                | JavaScript |         15 |          0 |          4 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\manipulation\support.js                                 | JavaScript |         17 |          8 |          8 |         33 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\manipulation\var\rcheckableType.js                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\offset.js                                               | JavaScript |        149 |         23 |         36 |        208 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\outro.js                                                | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\queue.js                                                | JavaScript |        113 |          9 |         21 |        143 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\queue\delay.js                                          | JavaScript |         17 |          2 |          4 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\selector-native.js                                      | JavaScript |        116 |         35 |         22 |        173 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\selector-sizzle.js                                      | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\selector.js                                             | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\serialize.js                                            | JavaScript |         80 |         16 |         16 |        112 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\sizzle\dist\sizzle.js                                   | JavaScript |      1,364 |        406 |        298 |      2,068 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\sizzle\dist\sizzle.min.js                               | JavaScript |          1 |          2 |          0 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\traversing.js                                           | JavaScript |        161 |         10 |         29 |        200 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\traversing\findFilter.js                                | JavaScript |         78 |          5 |         18 |        101 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\traversing\var\rneedsContext.js                         | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\arr.js                                              | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\class2type.js                                       | JavaScript |          3 |          1 |          1 |          5 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\concat.js                                           | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\hasOwn.js                                           | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\indexOf.js                                          | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\pnum.js                                             | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\push.js                                             | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\rnotwhite.js                                        | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\slice.js                                            | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\strundefined.js                                     | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\support.js                                          | JavaScript |          3 |          1 |          1 |          5 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\var\toString.js                                         | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\jquery\src\wrap.js                                                 | JavaScript |         61 |          1 |         18 |         80 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\.bower.json                                              | JSON       |         50 |          0 |          0 |         50 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\CHANGELOG.md                                             | Markdown   |         75 |          0 |         32 |        107 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\CONTRIBUTING.md                                          | Markdown   |         25 |          0 |         13 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\README.md                                                | Markdown   |        447 |          1 |        241 |        689 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\bower.json                                               | JSON       |         40 |          0 |          1 |         41 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog-custom-width.css                            | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog-theme-default.css                           | CSS        |        167 |          0 |         24 |        191 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog-theme-default.min.css                       | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog-theme-plain.css                             | CSS        |        116 |          0 |         15 |        131 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog-theme-plain.min.css                         | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog.css                                         | CSS        |         96 |          0 |         18 |        114 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\css\ngDialog.min.css                                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\js\ngDialog.js                                           | JavaScript |        676 |         58 |        156 |        890 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\js\ngDialog.min.js                                       | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\karma.conf.js                                            | JavaScript |         44 |          0 |          3 |         47 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\package.json                                             | JSON       |         65 |          0 |          1 |         66 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\protractor.conf.js                                       | JavaScript |         36 |         28 |         12 |         76 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\ng-dialog\server.js                                                | JavaScript |          7 |          0 |          3 |         10 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\listas.js                                                              | JavaScript |        162 |          0 |         12 |        174 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\config\materias.client.routes.js                              | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\controllers\materias.client.controller.js                     | JavaScript |        714 |         61 |         48 |        823 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\materias.client.module.js                                     | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\services\materias.client.service.js                           | JavaScript |         10 |          3 |          1 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\views\create-materia.client.view.html                         | HTML       |        328 |         36 |         40 |        404 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\views\edit-materia.client.view.html                           | HTML       |        334 |         36 |         41 |        411 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\views\list-materia.client.view.html                           | HTML       |         69 |          5 |         12 |         86 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\materias\views\view-materia.client.view.html                           | HTML       |         55 |          5 |         11 |         71 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\config\medios.client.routes.js                                  | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\controllers\medios.client.controller.js                         | JavaScript |        878 |         68 |         44 |        990 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\medios.client.module.js                                         | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\services\medios.client.service.js                               | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\views\create-medio.client.view.html                             | HTML       |        339 |         29 |         45 |        413 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\views\edit-medio.client.view.html                               | HTML       |        347 |         30 |         45 |        422 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\views\list-medio.client.view.html                               | HTML       |         62 |          5 |         11 |         78 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\medios\views\view-medio.client.view.html                               | HTML       |         51 |          5 |         14 |         70 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\config\obras.client.routes.js                                    | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\controllers\obras.client.controller.js                           | JavaScript |      1,844 |        127 |        110 |      2,081 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\obras.client.module.js                                           | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\services\obras.client.service.js                                 | JavaScript |         10 |          2 |          2 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\views\create-obra.client.view.html                               | HTML       |        887 |         84 |        142 |      1,113 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\views\edit-obra.client.view.html                                 | HTML       |        880 |         79 |        154 |      1,113 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\views\list-obra.client.view.html                                 | HTML       |         82 |          4 |          6 |         92 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\obras\views\view-obra.client.view.html                                 | HTML       |         91 |          6 |         26 |        123 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\config\proyectos.client.routes.js                            | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\controllers\proyectos.client.controller.js                   | JavaScript |        645 |         52 |         37 |        734 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\proyectos.client.module.js                                   | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\services\proyectos.client.service.js                         | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\views\create-proyecto.client.view.html                       | HTML       |        274 |         27 |         32 |        333 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\views\edit-proyecto.client.view.html                         | HTML       |        279 |         28 |         32 |        339 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\views\list-proyecto.client.view.html                         | HTML       |         63 |          5 |         11 |         79 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\proyectos\views\view-proyecto.client.view.html                         | HTML       |         48 |          5 |          9 |         62 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\config\recursos.client.routes.js                              | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\controllers\recursos.client.controller.js                     | JavaScript |      1,733 |        121 |        103 |      1,957 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\recursos.client.module.js                                     | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\services\recursos.client.service.js                           | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\views\create-recurso.client.view.html                         | HTML       |        839 |         74 |         91 |      1,004 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\views\edit-recurso.client.view.html                           | HTML       |        787 |         67 |         94 |        948 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\views\list-recurso.client.view.html                           | HTML       |         80 |          4 |          9 |         93 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\recursos\views\view-recurso.client.view.html                           | HTML       |         95 |          7 |          9 |        111 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\config\sistemas.client.routes.js                              | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\controllers\sistemas.client.controller.js                     | JavaScript |      1,015 |         83 |         64 |      1,162 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\services\sistemas.client.service.js                           | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\sistemas.client.module.js                                     | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\views\create-sistema.client.view.html                         | HTML       |        442 |         42 |         66 |        550 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\views\edit-sistema.client.view.html                           | HTML       |        450 |         42 |         67 |        559 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\views\list-sistema.client.view.html                           | HTML       |         70 |          5 |         13 |         88 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\sistemas\views\view-sistema.client.view.html                           | HTML       |         63 |          5 |         18 |         86 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\styles.css                                                             | CSS        |        283 |          0 |         35 |        318 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\users.client.module.js                                                 | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\users\services\authentication.client.service.js                        | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\server.js                                                                     | JavaScript |         10 |          5 |          1 |         16 |
| Total                                                                                                                  |            |     81,252 |     26,362 |     11,502 |    119,116 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
