Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\medios.server.routes.js                                            | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\obras.server.routes.js                                             | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\proyectos.server.routes.js                                         | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\recursos.server.routes.js                                          | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\sistemas.server.routes.js                                          | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\users.server.routes.js                                             | JavaScript |         34 |         10 |          2 |         46 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\index.ejs                                                           | HTML       |        284 |          6 |         25 |        315 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\signin.ejs                                                          | HTML       |         27 |          4 |          3 |         34 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\signup.ejs                                                          | HTML       |         32 |          4 |          2 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\bower.json                                                                    | JSON       |         16 |          0 |          1 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\config.js                                                              | JavaScript |          1 |          0 |          2 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\env\development.js                                                     | JavaScript |          9 |          1 |          1 |         11 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\env\production.js                                                      | JavaScript |          9 |          1 |          1 |         11 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\express.js                                                             | JavaScript |         54 |         12 |          2 |         68 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\mongoose.js                                                            | JavaScript |         25 |          7 |          2 |         34 |
