"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\users.server.routes.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 46
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\index.ejs", "HTML", 0, 0, 0, 284, 0, 0, 0, 0, 0, 6, 25, 315
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\signin.ejs", "HTML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\views\signup.ejs", "HTML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 2, 38
"c:\Users\ferna\Documents\Desarrollo\SIMR\bower.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\env\development.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\env\production.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\express.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 68
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\mongoose.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 34
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\passport.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 25
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\strategies\google.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\ferna\Documents\Desarrollo\SIMR\config\strategies\local.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ferna\Documents\Desarrollo\SIMR\package-lock.json", "JSON", 0, 0, 5101, 0, 0, 0, 0, 0, 0, 0, 1, 5102
"c:\Users\ferna\Documents\Desarrollo\SIMR\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\actores.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\config\actores.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\controllers\actores.client.controller.js", "JavaScript", 734, 0, 0, 0, 0, 0, 0, 0, 0, 67, 40, 841
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\services\actores.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\create-actor.client.view.html", "HTML", 0, 0, 0, 315, 0, 0, 0, 0, 0, 34, 41, 390
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\edit-actor.client.view.html", "HTML", 0, 0, 0, 317, 0, 0, 0, 0, 0, 33, 37, 387
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\list-actor.client.view.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 0, 0, 5, 9, 71
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\view-actor.client.view.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 13, 73
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\application.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\colecciones.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\config\colecciones.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\controllers\colecciones.client.controller.js", "JavaScript", 234, 0, 0, 0, 0, 0, 0, 0, 0, 37, 22, 293
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\services\colecciones.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\create-coleccion.client.view.html", "HTML", 0, 0, 0, 120, 0, 0, 0, 0, 0, 13, 21, 154
